year,mean_Arctic_Tundra,upper97p5_Arctic_Tundra,lower2p5_Arctic_Tundra,mean_Aridlands,upper97p5_Aridlands,lower2p5_Aridlands,mean_Boreal_Forest,upper97p5_Boreal_Forest,lower2p5_Boreal_Forest,mean_Coasts,upper97p5_Coasts,lower2p5_Coasts,mean_Eastern_Forest,upper97p5_Eastern_Forest,lower2p5_Eastern_Forest,mean_Forest_Generalist,upper97p5_Forest_Generalist,lower2p5_Forest_Generalist,mean_Grassland,upper97p5_Grassland,lower2p5_Grassland,mean_Habitat_Generalist,upper97p5_Habitat_Generalist,lower2p5_Habitat_Generalist,mean_Introduced,upper97p5_Introduced,lower2p5_Introduced,mean_Western_Forest,upper97p5_Western_Forest,lower2p5_Western_Forest,mean_Wetland,upper97p5_Wetland,lower2p5_Wetland
1980,-3.160875968081645,8.006702731244161,-12.574141428045062,-4.827063525812401,1.847166794299978,-10.224103264844514,-8.008584832893828,-1.8679211263102604,-13.765115857534106,2.3667940447729463,17.272274372502284,-11.731130952775734,-12.037687571444692,-9.97724826900203,-14.201555666782626,-0.37903735614745765,2.1543674075595964,-2.8813599503331497,-17.63866134381622,-15.0695377501953,-19.985589313229504,-6.412513669153675,-4.836804476033996,-8.001249431054848,-15.368553713373904,-10.38586556276729,-19.97759905549685,-8.630992535844541,-2.6966010464136123,-13.896488220334792,-8.114962551477696,-3.2396696310734354,-12.982435875391726
1981,-3.069185039907256,9.390791471222622,-13.370673988201908,-6.049237609899219,0.3765396703271548,-11.738857329113928,-9.167762564226864,-2.234160826340971,-15.06860654377368,3.0279778212448294,20.487453999625554,-12.679420012039516,-13.233510723771197,-11.065307442079206,-15.532568154882936,-0.24813184141142736,2.412261096522653,-2.7436536340353594,-19.259289470477704,-16.788534350959786,-21.80631537829755,-6.988084376293275,-5.475121987048733,-8.549614817725544,-16.67514085453927,-11.909581735448787,-21.23421570815923,-9.97697128452967,-4.216268081253478,-15.44734743533285,-9.995505757522922,-5.052578594548161,-14.541829499059526
1982,-2.106422627364725,10.449873309127113,-12.904627237404796,-7.212257209534386,-0.38601372548447227,-13.540939464209686,-10.553904161365532,-3.148538800111127,-17.222431502897447,3.937670404833928,21.44041514133482,-11.736382828409553,-14.217666744074261,-12.077535105297939,-16.520498997703662,-0.13371982903497034,2.4605865991574802,-2.5040095165161564,-20.687576741017136,-18.308896811897704,-23.14946135762875,-7.510306209767105,-5.776515455478269,-9.089812160139838,-17.95258738818173,-12.793690908493629,-22.627292638438945,-11.337140635691942,-5.602188309730169,-16.8467359002394,-11.814153017719935,-6.892105297340943,-16.79030086087881
1983,-1.7543320463912748,12.761846951130831,-14.906009877967103,-8.27611075482182,-1.8319786503669557,-14.459919855009373,-11.758700341427591,-3.9292864155371676,-18.38978897578129,3.8449348213862,22.363000416989443,-12.379680444477666,-15.096437150489379,-12.882526879683034,-17.248970295260758,0.0885006459337285,2.767171514936187,-2.6215887974144665,-22.038290955672732,-19.390609167702262,-24.437363595945765,-7.9346212338060615,-6.339120117659546,-9.601127647718297,-19.310253592761537,-14.626435147862475,-23.658211620889027,-12.3570445901903,-6.967835950473653,-17.895608267225743,-13.815970444039143,-8.673496171156343,-18.59467340891075
1984,-0.5823202362129201,16.494249623592715,-15.401789934927496,-9.587106024830884,-3.4306230604220174,-16.07954012158109,-12.88693675321135,-5.289435596326516,-19.8205760893703,4.063106480441732,25.459204775542066,-15.877714484746008,-15.847434259807025,-13.416335512627379,-18.156878000338864,0.20240133336100335,2.8372068897777067,-2.324228294293544,-23.426900354422134,-20.944226178027126,-25.863887924689777,-8.410518995613954,-6.796964182892205,-9.98992311022402,-20.354071820710207,-15.469939699823483,-24.939329670453446,-13.494928849620399,-7.906588806078587,-18.71503827198327,-15.42299792609195,-10.158097447497061,-20.52357320442343
1985,-0.32707376643446484,16.946256736263837,-15.47628242800148,-10.63620363079825,-4.0794815009900685,-17.153681801434754,-13.718920419727683,-4.3298690596926805,-20.74795758412527,3.77250491551366,25.61978120611144,-16.93057488863293,-16.482625458420184,-14.07984982991901,-19.008556265382897,0.5287383659590589,3.278425748671165,-2.3088580460715313,-24.68903439771,-22.37035484149895,-26.98150191146699,-8.718946651185101,-7.147120581897404,-10.227273931729574,-21.619337369942535,-16.57404961952285,-26.187993619792906,-14.632486789007439,-8.860641221726013,-20.06682875924627,-16.770860297448632,-11.261026123943358,-21.568270188510922
1986,0.65099901579166,22.364409661987054,-15.75408087546159,-11.76396449813689,-4.82052852838267,-18.420727459688678,-14.652810482770992,-5.372299245814025,-21.754771885187797,3.3018392941206156,29.546264893461462,-19.02946892642179,-17.026926906081226,-14.584376010144595,-19.434927982019254,0.9612451563909608,3.8675048392962332,-1.82194433525315,-25.890746031188804,-23.468945072947296,-28.28372228540402,-9.07269118386595,-7.420914419085533,-10.622469698026006,-22.781560761263155,-17.90745588661307,-27.453143590729535,-15.591333500936473,-9.752358532294636,-20.91759278700493,-17.97006253624248,-12.560528518274369,-23.036525951382416
1987,2.0350538094976525,25.982700553692634,-16.359857723642673,-12.643738422144096,-6.389828895724345,-19.075789698788725,-15.720393691629122,-5.621154404236484,-23.047182889559057,1.3189631047869965,25.175933529637344,-21.550003338398053,-17.45960964773591,-14.907645936592067,-20.06850658778881,1.2804892125585796,3.9967246369392835,-1.3220866621619956,-27.112833154540517,-24.68433218604271,-29.5110729242261,-9.344094104124393,-7.933599939799988,-10.883966793651368,-23.931613759810805,-19.129690967543283,-28.24240832374041,-16.668153894718728,-11.420939923974206,-22.029061006744705,-18.959551618824758,-13.26396479894834,-24.19429673456699
1988,3.514180132325434,29.43635773382837,-16.583551044413287,-13.588745076252813,-6.528459736905094,-20.56820583006555,-16.39623626159134,-7.424916607634057,-23.822165655890057,0.23478929650430194,24.869277011500458,-24.432184280463403,-17.881986155062176,-15.309219629674187,-20.46213102799566,1.6896302310586573,4.678331799900553,-1.0892600505132402,-28.267669153054637,-25.986304480154743,-30.60687776631508,-9.634191866694074,-7.968707903114404,-11.213440740729297,-25.095518872453678,-20.39319712316582,-29.520298472412446,-17.565422405401172,-11.708893099921971,-22.73747613760318,-19.620545829928773,-13.108298359537413,-24.95431901380466
1989,4.973434941657623,28.27585052792043,-15.647553258660233,-14.461198065868395,-7.710423089301743,-21.041018993530326,-17.201056304583688,-7.372247286069068,-25.641572039899238,-1.0455721921434293,25.50394984524825,-26.095749608136916,-18.376792583309538,-15.621944727558963,-20.9642977580095,2.181141270740273,5.335950650717016,-0.7163323772291336,-29.504404224344515,-27.14142769235017,-31.71208948275266,-9.80184165576203,-8.147244406369264,-11.41059491542696,-26.0369531371734,-21.260335473408134,-30.433111156562948,-18.379219446397123,-12.861345949621462,-23.435604592306003,-20.05227520225872,-13.117631281966718,-25.729325350204192
