species,sci_name,mass,trophic_niche1,trophic_niche2,Breeding.Biome,start_abd,end_abd,abd_change,biomass_start,biomass_end,biomass_change
Black-billed Cuckoo,Coccyzus erythropthalmus,50.9,Invertivore,Insessorial,Eastern Forest,2370413.58700995,877400.517185203,-1493013.069824747,120654051.57880646,44659686.324726835,-75994365.254079625
Black-billed Magpie,Pica hudsonia,177.1,Omnivore,Terrestrial,Habitat Generalist,7661618.53890913,5948233.47589144,-1713385.0630176896,1356872643.2408068,1053432148.580374,-303440494.6604328
Black-capped Chickadee,Poecile atricapillus,10.8,Invertivore,Insessorial,Forest Generalist,32740610.0159073,44302041.051649,11561431.035741698,353598588.1717988,478462043.3578092,124863455.18601036
Black-chinned Hummingbird,Archilochus alexandri,3.4,Nectarivore,Aerial,Western Forest,5740806.48646056,8867818.1895476,3127011.70308704,19518742.053965904,30150581.84446184,10631839.790495936
Black-chinned Sparrow,Spizella atrogularis,11.3,Omnivore,Generalist,Aridlands,647025.919382097,272327.095558098,-374698.823823999,7311392.8890176965,3077296.1798065077,-4234096.709211189
Black-crested Titmouse,Baeolophus atricristatus,17.5,Invertivore,Insessorial,Aridlands,832402.736708036,629549.658373519,-202853.07833451708,14567047.892390631,11017119.021536581,-3549928.87085405
Black-crowned Night-Heron,Nycticorax nycticorax,810,Aquatic predator,Terrestrial,Wetland,491514.006595363,419240.397997584,-72273.608597779,398126345.342244,339584722.37804306,-58541622.96420097
Black-headed Grosbeak,Pheucticus melanocephalus,47.1,Invertivore,Insessorial,Western Forest,9972808.97925537,12848621.2629838,2875812.28372843,469719302.922928,605170061.486537,135450758.563609
Black-legged Kittiwake,Rissa tridactyla,416,Aquatic predator,Aerial,Coasts,3007645.55475105,1559803.92509201,-1447841.6296590401,1251180550.7764368,648878432.8382761,-602302117.9381607
Black-necked Stilt,Himantopus mexicanus,176.8,Aquatic predator,Terrestrial,Wetland,69096.8293590543,205242.703557338,136145.8741982837,12216319.430680802,36286909.98893736,24070590.55825656
Black-tailed Gnatcatcher,Polioptila melanura,5.2,Invertivore,Insessorial,Aridlands,6239963.3895076,6794763.1646471,554799.7751394995,32447809.62543952,35332768.45616492,2884958.830725398
Black-throated Blue Warbler,Setophaga caerulescens,10.1,Invertivore,Insessorial,Boreal Forest,1263351.12924887,2684451.22383006,1421100.09458119,12759846.405413587,27112957.360683605,14353110.955270018
Black-throated Gray Warbler,Setophaga nigrescens,8.7,Invertivore,Insessorial,Western Forest,5099254.67242769,2964298.81262474,-2134955.8598029497,44363515.6501209,25789399.669835236,-18574115.980285663
Black-throated Green Warbler,Setophaga virens,8.7,Invertivore,Insessorial,Boreal Forest,7677213.67099544,9354988.36253673,1677774.69154129,66791758.93766033,81388398.75406955,14596639.816409223
Black-throated Sparrow,Amphispiza bilineata,13.5,Omnivore,Generalist,Aridlands,49731276.0814802,29409631.1431883,-20321644.938291896,671372227.0999826,397030020.43304205,-274342206.66694057
Black-whiskered Vireo,Vireo altiloquus,19,Invertivore,Insessorial,Eastern Forest,113563.583614153,92593.7375911372,-20969.84602301581,2157708.088668907,1759281.0142316066,-398427.07443730044
Blackburnian Warbler,Setophaga fusca,9.7,Invertivore,Insessorial,Boreal Forest,12320481.0344718,13760941.7153725,1440460.6809006985,119508666.03437646,133481134.63911323,13972468.604736775
