species,sci_name,mass,trophic_niche1,trophic_niche2,Breeding.Biome,start_abd,end_abd,abd_change,biomass_start,biomass_end,biomass_change
McCown's Longspur,Rhynchophanes mccownii,25.7,Granivore,Terrestrial,Grassland,4720275.66269924,785292.114389036,-3934983.5483102044,121311084.53137048,20182007.339798223,-101129077.19157225
Merlin,Falco columbarius,188.5,Vertivore,Aerial,Habitat Generalist,427320.049681599,2058454.41687592,1631134.367194321,80549829.36498141,388018657.58111095,307468828.21612954
Mew Gull,Larus canus,412.5,Omnivore,Terrestrial,Wetland,2891909.31223706,1039787.58091061,-1852121.7313264501,1192912591.2977874,428912377.1256266,-764000214.1721609
Mexican Jay,Aphelocoma wollweberi,113.3,Omnivore,Generalist,Western Forest,154463.785501146,157884.890699326,3421.105198180012,17500746.89727984,17888358.116233636,387611.21895379573
Mississippi Kite,Ictinia mississippiensis,276,Invertivore,Generalist,Eastern Forest,548839.903897481,859606.906232035,310767.002334554,151479813.47570476,237251506.12004167,85771692.64433691
Monk Parakeet,Myiopsitta monachus,120,Omnivore,Insessorial,Introduced,99.6130024622069,90602.6072205848,90502.99421812259,11953.560295464828,10872312.866470177,10860359.306174712
Mottled Duck,Anas fulvigula,843.4,Herbivore aquatic,Aquatic,Wetland,659008.237287569,226703.480389298,-432304.756898271,555807547.3283356,191201715.36033392,-364605831.9680017
Mountain Bluebird,Sialia currucoides,29.6,Invertivore,Insessorial,Western Forest,6635469.57373112,5608133.06645954,-1027336.5072715795,196409899.38244116,166000738.7672024,-30409160.615238756
Mountain Chickadee,Poecile gambeli,11.2,Invertivore,Insessorial,Western Forest,14287869.6355486,7238554.67366441,-7049314.961884191,160024139.91814432,81071812.34504138,-78952327.57310294
Mountain Plover,Charadrius montanus,95.7,Invertivore,Terrestrial,Grassland,69433.099402354,18233.2165360723,-51199.882866281696,6644747.612805278,1744918.8225021192,-4899828.790303159
Mountain Quail,Oreortyx pictus,233,Omnivore,Terrestrial,Western Forest,310591.041846813,239765.356798676,-70825.685048137,72367712.75030743,55865328.134091504,-16502384.616215922
Mourning Dove,Zenaida macroura,118.9,Granivore,Terrestrial,Habitat Generalist,153358470.742345,130884274.231624,-22474196.510720998,18234322171.26482,15562140206.140095,-2672181965.1247253
Mourning Warbler,Geothlypis philadelphia,11.7,Invertivore,Insessorial,Boreal Forest,23676883.3350854,13093356.2467386,-10583527.0883468,277019535.02049917,153192268.0868416,-123827266.93365756
Mute Swan,Cygnus olor,10682,Herbivore aquatic,Aquatic,Introduced,5866.58584485501,30124.143205962,24257.55736110699,62666869.99474122,321786097.7260861,259119227.73134488
Nashville Warbler,Leiothlypis ruficapilla,8.1,Invertivore,Insessorial,Boreal Forest,38160253.1542548,39363561.8906658,1203308.7364109978,309098050.54946387,318844851.314393,9746800.764929116
Nelson's Sparrow,Ammospiza nelsoni,15.1,Invertivore,Generalist,Wetland,447768.697456744,1212178.93412702,764410.2366702759,6761307.331596834,18303901.905318,11542594.573721167
Northern Bobwhite,Colinus virginianus,171.9,Omnivore,Terrestrial,Eastern Forest,27562802.2213932,6449583.53975335,-21113218.68163985,4738045701.8574915,1108683410.483601,-3629362291.3738904
Northern Cardinal,Cardinalis cardinalis,42.6,Omnivore,Insessorial,Eastern Forest,107690964.147955,119354531.458893,11663567.310938,4587635072.702883,5084503040.148842,496867967.4459591
Northern Flicker,Colaptes auratus,131.5,Invertivore,Generalist,Forest Generalist,18448356.4433008,10473900.9562135,-7974455.487087298,2425958872.294055,1377317975.7420752,-1048640896.5519798
Northern Fulmar,Fulmarus glacialis,611.9,Aquatic predator,Aquatic,Coasts,3600166.81997838,2737461.05577243,-862705.7642059503,2202942077.1447706,1675052420.0271497,-527889657.11762094
Northern Gannet,Morus bassanus,2998.7,Aquatic predator,Aerial,Coasts,37124.16422573,414907.700064258,377783.535838528,111324231.26369654,1244183720.1826904,1132859488.918994
Northern Goshawk,Accipiter gentilis,866,Vertivore,Generalist,Forest Generalist,166449.464908805,216052.111722546,49602.64681374098,144145236.61102512,187101128.75172484,42955892.140699714
Northern Harrier,Circus hudsonius,393,Vertivore,Aerial,Habitat Generalist,1137376.56360855,793452.473937471,-343924.08967107895,446988989.4981601,311826822.25742614,-135162167.24073398
Northern Mockingbird,Mimus polyglottos,48.5,Omnivore,Generalist,Habitat Generalist,43449225.7640898,33009046.8965142,-10440178.8675756,2107287449.5583553,1600938774.4809387,-506348675.07741666
Northern Parula,Setophaga americana,7.8,Invertivore,Insessorial,Forest Generalist,12182981.0564342,21581121.4504209,9398140.393986702,95027252.24018675,168332747.31328303,73305495.07309628
Northern Pintail,Anas acuta,944.6,Herbivore aquatic,Aquatic,Wetland,5884188.19956069,2923424.19531829,-2960764.0042423997,5558204173.305028,2761466494.897657,-2796737678.407371
Northern Pygmy-Owl,Glaucidium gnoma,61.3,Invertivore,Insessorial,Western Forest,103003.197137451,136467.880232506,33464.68309505499,6314095.984525746,8365481.058252617,2051385.073726871
Northern Rough-winged Swallow,Stelgidopteryx serripennis,15.7,Invertivore,Aerial,Habitat Generalist,23881334.394406,19912006.1703177,-3969328.2240883,374936949.99217415,312618496.87398785,-62318453.118186295
Northern Saw-whet Owl,Aegolius acadicus,100.7,Vertivore,Insessorial,Forest Generalist,966031.514278944,2379006.51947217,1412975.005193226,97279373.48788966,239565956.51084754,142286583.02295786
Northern Shoveler,Spatula clypeata,612.6,Aquatic predator,Aquatic,Wetland,2125620.7212879,4588706.68341811,2463085.96213021,1302155253.8609676,2811041714.2619343,1508886460.4009666
Northern Shrike,Lanius borealis,63.4,Vertivore,Insessorial,Arctic Tundra,476511.561802039,377490.963117014,-99020.598685025,30210833.01824927,23932927.061618686,-6277905.956630584
Northern Waterthrush,Parkesia noveboracensis,16.3,Invertivore,Terrestrial,Boreal Forest,12192615.91215,18527847.3816651,6335231.4695151,198739639.368045,302003912.3211411,103264272.95309612
Northwestern Crow,Corvus brachyrhynchos,448.8,Omnivore,Terrestrial,Western Forest,665259.454721263,719623.457345874,54364.00262461102,298568443.2789028,322967007.6568283,24398564.377925456
Nuttall's Woodpecker,Dryobates nuttallii,37.4,Invertivore,Insessorial,Western Forest,484578.181369526,799636.020536772,315057.83916724595,18123223.98322027,29906387.16807527,11783163.184855
Oak Titmouse,Baeolophus inornatus,15.9,Invertivore,Insessorial,Western Forest,1253526.42450576,660132.052236826,-593394.3722689339,19931070.149641585,10496099.630565533,-9434970.519076051
Olive Sparrow,Arremonops rufivirgatus,22.4,Omnivore,Generalist,Aridlands,199225.806616185,1038793.4333403,839567.626724115,4462658.068202544,23268972.90682272,18806314.838620175
Olive-sided Flycatcher,Contopus cooperi,32.1,Invertivore,Insessorial,Forest Generalist,6612758.22765833,1659284.25511212,-4953473.9725462105,212269539.10783243,53263024.58909905,-159006514.51873338
Orange-crowned Warbler,Leiothlypis celata,9.2,Invertivore,Insessorial,Forest Generalist,118067021.273589,78676532.1900423,-39390489.0835467,1086216595.7170186,723824096.1483891,-362392499.5686295
Orchard Oriole,Icterus spurius,19.4,Invertivore,Insessorial,Eastern Forest,14995086.3085915,10434351.4354987,-4560734.8730928,290904674.38667506,202426417.84867474,-88478256.53800032
Osprey,Pandion haliaetus,1483.2,Aquatic predator,Aerial,Wetland,128710.110333738,521206.793180502,392496.682846764,190902835.64700022,773053915.6453207,582151079.9983205
Ovenbird,Seiurus aurocapilla,18.8,Invertivore,Terrestrial,Eastern Forest,26194758.5412284,26557731.4433752,362972.90214680135,492461460.5750939,499285351.13545376,6823890.560359836
Pacific Golden-Plover,Pluvialis fulva,134.9,Omnivore,Terrestrial,Arctic Tundra,64791.3227019657,46151.3316417222,-18639.991060243497,8740349.432495173,6225814.638468325,-2514534.794026848
Pacific Wren,Troglodytes pacificus,9.4,Invertivore,Insessorial,Western Forest,8984581.02502955,6916623.46552379,-2067957.5595057597,84455061.63527776,65016260.57592362,-19438801.05935414
Pacific-slope Flycatcher,Empidonax difficilis,10.7,Invertivore,Insessorial,Western Forest,9741009.71993787,8622071.44109161,-1118938.2788462602,104228804.00333521,92256164.41968022,-11972639.583654985
Painted Bunting,Passerina ciris,15.5,Granivore,Terrestrial,Eastern Forest,15762010.9298577,13175427.7185987,-2586583.211259,244311169.41279435,204219129.63827983,-40092039.774514526
Palm Warbler,Setophaga palmarum,10.3,Invertivore,Insessorial,Boreal Forest,15842990.8905759,17160951.1124656,1317960.2218897007,163182806.1729318,176757796.45839572,13574990.28546393
Pectoral Sandpiper,Calidris melanotos,79.7,Aquatic predator,Terrestrial,Arctic Tundra,3048864.7989442,1515649.40948333,-1533215.3894608698,242994524.47585273,120797257.93582141,-122197266.54003131
Pelagic Cormorant,Urile pelagicus,1856.5,Aquatic predator,Aquatic,Coasts,179790.207667415,85016.9046764182,-94773.3029909968,333780520.534556,157833883.53177038,-175946637.0027856
Peregrine Falcon,Falco peregrinus,760,Vertivore,Aerial,Habitat Generalist,7568.16803052109,97244.2926187524,89676.12458823131,5751807.703196028,73905662.39025183,68153854.6870558
Phainopepla,Phainopepla nitens,22.1,Frugivore,Insessorial,Aridlands,1092833.04245198,1388005.35645546,295172.3140034799,24151610.238188762,30674918.37766567,6523308.1394769065
Philadelphia Vireo,Vireo philadelphicus,11.5,Invertivore,Insessorial,Boreal Forest,1875145.12793301,4879601.43483576,3004456.30690275,21564168.971229617,56115416.50061124,34551247.52938162
Pied-billed Grebe,Podilymbus podiceps,411.9,Aquatic predator,Aquatic,Wetland,874580.827177659,1206899.52284683,332318.69566917105,360239842.7144777,497121913.46060926,136882070.74613154
Pigeon Guillemot,Cepphus columba,530,Aquatic predator,Aquatic,Coasts,209061.061036219,301720.074341817,92659.013305598,110802362.34919608,159911639.401163,49109277.051966935
Pileated Woodpecker,Dryocopus pileatus,286.6,Invertivore,Insessorial,Eastern Forest,1441338.20675824,3002463.56719265,1561125.36043441,413087530.05691165,860506058.3574135,447418528.3005019
Pine Grosbeak,Pinicola enucleator,56.4,Omnivore,Insessorial,Boreal Forest,8018172.29622161,6906270.49678669,-1111901.7994349198,452224917.5068988,389513656.0187693,-62711261.4881295
Pine Siskin,Spinus pinus,12.7,Granivore,Insessorial,Forest Generalist,158557364.22825,36868735.1357785,-121688629.0924715,2013678525.6987748,468232936.22438693,-1545445589.474388
Pine Warbler,Setophaga pinus,11.8,Invertivore,Insessorial,Eastern Forest,8717843.78058723,13309532.1463103,4591688.36572307,102870556.61092933,157052479.32646155,54181922.71553223
Pinyon Jay,Gymnorhinus cyanocephalus,104.8,Omnivore,Generalist,Western Forest,2931010.25872245,630153.36907375,-2300856.8896487,307169875.11411273,66040073.078929,-241129802.03518373
Plumbeous Vireo,Vireo plumbeus,16.4,Invertivore,Insessorial,Western Forest,4160523.87055149,3201166.86498854,-959357.0055629504,68232591.47704443,52499136.58581205,-15733454.891232386
Prairie Falcon,Falco mexicanus,713.1,Vertivore,Aerial,Aridlands,60129.8491103014,107415.594939791,47285.7458294896,42878595.40055593,76598060.75156496,33719465.35100903
Prairie Warbler,Setophaga discolor,7.6,Invertivore,Insessorial,Eastern Forest,7155762.51458559,3356373.79300407,-3799388.72158152,54383795.11085048,25508440.82683093,-28875354.284019552
Prothonotary Warbler,Protonotaria citrea,14.3,Invertivore,Insessorial,Eastern Forest,3276772.37272389,1993443.93041543,-1283328.44230846,46857844.92995163,28506248.20494065,-18351596.72501098
Purple Finch,Haemorhous purpureus,23.3,Omnivore,Insessorial,Forest Generalist,10996631.5949626,6273783.15753376,-4722848.43742884,256221516.1626286,146179147.5705366,-110042368.59209198
Purple Gallinule,Porphyrio martinica,235.1,Herbivore aquatic,Terrestrial,Wetland,40359.3744467034,19461.6381076708,-20897.7363390326,9488488.932419969,4575431.119113404,-4913057.8133065645
Purple Martin,Progne subis,53.8,Invertivore,Aerial,Habitat Generalist,11878142.4556908,8521822.20495211,-3356320.2507386897,639044064.1161649,458474034.6264235,-180570029.48974144
Purple Sandpiper,Calidris maritima,65.1,Aquatic predator,Terrestrial,Arctic Tundra,38579.145591906,25685.3106555807,-12893.834936325304,2511502.3780330806,1672113.7236783034,-839388.6543547772
Pygmy Nuthatch,Sitta pygmaea,10.6,Invertivore,Insessorial,Western Forest,3689329.60141132,3119856.39845018,-569473.2029611398,39106893.77495999,33070477.823571905,-6036415.951388083
Pyrrhuloxia,Cardinalis sinuatus,35.2,Omnivore,Generalist,Aridlands,2886833.78057279,1470120.75723018,-1416713.02334261,101616549.07616222,51748250.65450234,-49868298.42165988
Razorbill,Alca torda,726,Aquatic predator,Aquatic,Coasts,13524.9383335226,891755.460982644,878230.5226491214,9819105.230137408,647414464.6733996,637595359.4432621
Red Crossbill,Loxia curvirostra,38.3,Granivore,Insessorial,Forest Generalist,9192998.81366224,9871198.98867036,678200.17500812,352091854.5632638,378066921.2660748,25975066.702811003
Red Knot,Calidris canutus,141.9,Aquatic predator,Terrestrial,Arctic Tundra,972909.425729988,146450.989945654,-826458.4357843341,138055847.5110853,20781395.473288305,-117274452.037797
Red-bellied Woodpecker,Melanerpes carolinus,69.5,Omnivore,Insessorial,Eastern Forest,10457161.8182529,16926284.3319109,6469122.513658,726772746.3685766,1176376761.0678077,449604014.699231
Red-breasted Merganser,Mergus serrator,1015.2,Aquatic predator,Aquatic,Arctic Tundra,972874.719258838,288699.745507682,-684174.973751156,987662414.9915724,293087981.63939875,-694574433.3521736
Red-breasted Nuthatch,Sitta canadensis,9.8,Omnivore,Insessorial,Forest Generalist,11318907.9831181,20248718.6526807,8929810.669562599,110925298.23455739,198437442.79627088,87512144.56171349
Red-breasted Sapsucker,Sphyrapicus ruber,54.8,Invertivore,Insessorial,Western Forest,1701569.881835,3056149.0722877802,1354579.1904527803,93246029.524558,167476969.16137034,74230939.63681234
Red-cockaded Woodpecker,Dryobates borealis,48,Invertivore,Insessorial,Eastern Forest,34197.1135331686,14047.5020429051,-20149.6114902635,1641461.449592093,674280.0980594448,-967181.3515326482
Red-eyed Vireo,Vireo olivaceus,16.1,Invertivore,Insessorial,Forest Generalist,94587566.8815969,138399970.568416,43812403.68681911,1522859826.7937102,2228239526.151498,705379699.3577876
Red-faced Cormorant,Urile urile,2117.7,Aquatic predator,Aquatic,Coasts,146417.957601076,59975.066436524,-86442.89116455198,310069308.8117986,127009198.19262686,-183060110.6191717
Red-faced Warbler,Cardellina rubrifrons,8.1,Invertivore,Insessorial,Western Forest,345270.325982771,256924.561044773,-88345.764937998,2796689.640460445,2081088.9444626612,-715600.6959977839
Red-headed Woodpecker,Melanerpes erythrocephalus,71.6,Invertivore,Insessorial,Eastern Forest,4244667.08747579,1801212.69867821,-2443454.38879758,303918163.4632665,128966829.22535981,-174951334.2379067
Red-naped Sapsucker,Sphyrapicus nuchalis,48.5,Omnivore,Insessorial,Western Forest,1250921.62874787,2094726.33740781,843804.7086599399,60669698.994271696,101594227.36427878,40924528.37000708
Red-necked Grebe,Podiceps grisegena,1023,Aquatic predator,Aquatic,Wetland,598486.897178709,906126.726127621,307639.828948912,612252095.8138194,926967640.8285563,314715545.0147369
Red-shouldered Hawk,Buteo lineatus,603.7,Vertivore,Aerial,Forest Generalist,572039.402333231,2249660.01871593,1677620.6163826992,345340187.1885716,1358119753.2988071,1012779566.1102356
Red-tailed Hawk,Buteo jamaicensis,1101.2,Vertivore,Insessorial,Habitat Generalist,1461430.3365985,3114830.43795451,1653400.1013560102,1609327086.6622682,3430051278.2755065,1820724191.6132383
Red-throated Loon,Gavia stellata,1486,Aquatic predator,Aquatic,Arctic Tundra,314179.340994821,409986.680969016,95807.339974195,466870500.718304,609240207.9199578,142369707.20165378
Red-winged Blackbird,Agelaius phoeniceus,50.8,Granivore,Generalist,Habitat Generalist,261183387.335734,168273498.349734,-92909888.986,13268116076.655287,8548293716.166487,-4719822360.4888
Reddish Egret,Egretta rufescens,614,Aquatic predator,Terrestrial,Coasts,2951.64488493917,5183.53950480709,2231.8946198679205,1812309.9593526504,3182693.2559515536,1370383.2965989031
Redhead,Aythya americana,1075.7,Herbivore aquatic,Aquatic,Wetland,568699.221564039,1193614.74602498,624915.524460941,611749752.6364368,1283971382.299071,672221629.6626343
Rhinoceros Auklet,Cerorhinca monocerata,482.2,Aquatic predator,Aquatic,Coasts,532871.426666246,1321014.53939989,788143.112733644,256950601.93846384,636993210.8986269,380042608.9601631
Ring-billed Gull,Larus delawarensis,516.3,Omnivore,Terrestrial,Wetland,2048397.94116421,4132370.60104955,2083972.65988534,1057587857.0230815,2133542941.3218825,1075955084.298801
Ring-necked Duck,Aythya collaris,704.6,Herbivore aquatic,Aquatic,Wetland,128628.617374783,578188.20893097,449559.591556187,90631723.80227211,407391412.01276153,316759688.2104894
Ring-necked Pheasant,Phasianus colchicus,1120.3,Omnivore,Terrestrial,Introduced,20687707.2563605,16513391.0952631,-4174316.1610974018,23176438439.300667,18499952044.02325,-4676486395.277416
Rock Pigeon,Columba livia,354.2,Granivore,Terrestrial,Introduced,25610457.1373445,15885280.1122493,-9725177.025095198,9071223918.04742,5626566215.758702,-3444657702.288718
Rock Sandpiper,Calidris ptilocnemis,81.3,Aquatic predator,Terrestrial,Arctic Tundra,342727.958644571,169432.497634354,-173295.46101021703,27863783.037803624,13774862.05767298,-14088920.980130645
Rock Wren,Salpinctes obsoletus,16.4,Invertivore,Terrestrial,Aridlands,5600624.22271088,3116040.14810139,-2484584.0746094906,91850237.25245844,51103058.42886279,-40747178.82359565
Rose-breasted Grosbeak,Pheucticus ludovicianus,42,Omnivore,Insessorial,Eastern Forest,6418250.95287423,4447495.39173287,-1970755.5611413606,269566540.0207177,186794806.45278051,-82771733.56793717
Roseate Spoonbill,Platalea ajaja,1490,Aquatic predator,Terrestrial,Wetland,1985.508158224,49792.570777811,47807.062619587,2958407.15575376,74190930.45893839,71232523.30318463
Ross's Goose,Anser rossii,1636,Herbivore terrestrial,Terrestrial,Arctic Tundra,315615.210812015,2553011.84430227,2237396.633490255,516346484.8884565,4176727377.278514,3660380892.3900576
Rough-legged Hawk,Buteo lagopus,949.8,Vertivore,Insessorial,Arctic Tundra,308493.081235308,319430.440584581,10937.35934927297,293006728.55729556,303395032.467235,10388303.909939468
Royal Tern,Thalasseus maximus,415.3,Aquatic predator,Aerial,Coasts,35633.9215406633,41283.4253387267,5649.503798063401,14798767.61583747,17145006.5431732,2346238.9273357317
Ruby-crowned Kinglet,Corthylio calendula,6.2,Invertivore,Insessorial,Boreal Forest,85170843.5988913,105192798.200174,20021954.6012827,528059230.3131261,652195348.8410789,124136118.52795279
Ruby-throated Hummingbird,Archilochus colubris,3.1,Nectarivore,Generalist,Eastern Forest,20749976.2785513,38100615.8596299,17350639.5810786,64324926.46350903,118111909.1648527,53786982.70134366
Ruddy Duck,Oxyura jamaicensis,608.2,Aquatic predator,Aquatic,Wetland,717902.075516385,1515722.90156502,797820.826048635,436628042.3290654,921862668.7318453,485234626.4027799
Ruddy Turnstone,Arenaria interpres,136,Aquatic predator,Terrestrial,Arctic Tundra,1327113.42514283,220441.197895197,-1106672.227247633,180487425.81942487,29980002.913746793,-150507422.90567806
Ruffed Grouse,Bonasa umbellus,530.9,Herbivore terrestrial,Generalist,Forest Generalist,15163425.3205237,17686221.6970903,2522796.376566602,8050262502.666032,9389615098.98524,1339352596.319209
Rufous Hummingbird,Selasphorus rufus,3.5,Nectarivore,Aerial,Western Forest,50841988.837643,19233486.9312548,-31608501.906388197,177946960.93175048,67317204.2593918,-110629756.67235868
Rufous-crowned Sparrow,Aimophila ruficeps,18.7,Granivore,Generalist,Aridlands,823727.601851438,594772.697095648,-228954.90475579002,15403706.154621892,11122249.435688619,-4281456.718933273
Rusty Blackbird,Euphagus carolinus,59.6,Omnivore,Terrestrial,Boreal Forest,29408820.6956218,5975170.55210821,-23433650.14351359,1752765713.4590592,356120164.9056493,-1396645548.55341
Sage Thrasher,Oreoscoptes montanus,44.2,Invertivore,Terrestrial,Aridlands,10297022.4854901,5981649.14754384,-4315373.33794626,455128393.8586625,264388892.32143775,-190739501.53722474
Sagebrush Sparrow,Artemisiospiza nevadensis,18.5,Granivore,Terrestrial,Aridlands,5811730.30840952,5430547.43100712,-381182.8774024006,107517010.70557612,100465127.47363171,-7051883.231944412
Sanderling,Calidris alba,51.7,Aquatic predator,Terrestrial,Arctic Tundra,1054227.85317495,272345.224049717,-781882.629125233,54503580.00914492,14080248.08337037,-40423331.925774544
Sandhill Crane,Antigone canadensis,4296.2,Omnivore,Terrestrial,Wetland,75904.1740372117,774727.632911719,698823.4588745073,326099512.4986689,3328384856.515327,3002285344.016658
Sandwich Tern,Thalasseus sandvicensis,199.8,Aquatic predator,Aerial,Coasts,87592.4097831528,145710.501386981,58118.09160382819,17500963.47467393,29112958.177118804,11611994.702444874
Savannah Sparrow,Passerculus sandwichensis,20,Omnivore,Generalist,Grassland,292995193.57412,151984135.736348,-141011057.83777198,5859903871.4824,3039682714.72696,-2820221156.7554398
Say's Phoebe,Sayornis saya,20.9,Invertivore,Insessorial,Habitat Generalist,3372969.34417088,5431342.79861212,2058373.4544412396,70495059.29317139,113515064.49099329,43020005.1978219
Scaled Quail,Callipepla squamata,183.9,Omnivore,Terrestrial,Aridlands,5363909.38570586,4439536.67479337,-924372.7109124903,986422936.0313077,816430794.4945008,-169992141.53680694
Scarlet Tanager,Piranga olivacea,28.2,Invertivore,Insessorial,Eastern Forest,2823791.63723409,2522132.69031714,-301658.94691694994,79630924.17000133,71124141.86694334,-8506782.303057984
Scissor-tailed Flycatcher,Tyrannus forficatus,39.3,Invertivore,Insessorial,Grassland,10041059.2139888,7750055.79506196,-2291003.4189268397,394613627.1097598,304577192.745935,-90036434.36382478
Scott's Oriole,Icterus parisorum,36.5,Invertivore,Insessorial,Western Forest,2413701.21303077,1643594.26972169,-770106.9433090799,88100094.2756231,59991190.84484169,-28108903.43078141
Seaside Sparrow,Ammospiza maritima,22.2,Invertivore,Terrestrial,Coasts,122755.498969805,255821.41223082,133065.91326101497,2725172.077129671,5679235.351524203,2954063.274394532
Sedge Wren,Cistothorus platensis,9,Invertivore,Insessorial,Grassland,3282379.39164524,5135598.52358094,1853219.1319357003,29541414.524807163,46220386.71222846,16678972.1874213
Semipalmated Plover,Charadrius semipalmatus,46.7,Aquatic predator,Terrestrial,Arctic Tundra,236576.127479821,204415.66853399,-32160.458945830993,11048105.15330764,9546211.720537335,-1501893.4327703062
Semipalmated Sandpiper,Calidris pusilla,27.5,Aquatic predator,Terrestrial,Arctic Tundra,7109451.75274689,2379545.1332507,-4729906.619496191,195509923.20053947,65437491.164394245,-130072432.03614523
Sharp-shinned Hawk,Accipiter striatus,130.6,Vertivore,Aerial,Forest Generalist,252494.684323626,438337.553766036,185842.86944241,32975805.772665553,57246884.5218443,24271078.749178745
Sharp-tailed Grouse,Tympanuchus phasianellus,882.4,Herbivore terrestrial,Terrestrial,Grassland,576886.982448306,842803.586428174,265916.603979868,509045073.31238526,743689884.6642208,234644811.35183555
Short-billed Dowitcher,Limnodromus griseus,110.5,Aquatic predator,Terrestrial,Wetland,326134.239086143,156064.739983983,-170069.49910215999,36037833.4190188,17245153.76823012,-18792679.650788676
Short-eared Owl,Asio flammeus,322.6,Vertivore,Aerial,Habitat Generalist,1151227.78265639,591607.600476357,-559620.182180033,371386082.6849514,190852611.9136728,-180533470.77127862
Smith's Longspur,Calcarius pictus,26.7,Granivore,Terrestrial,Arctic Tundra,70906.1167745986,102990.488482964,32084.371708365405,1893193.3178817825,2749846.042495139,856652.7246133564
Snow Bunting,Plectrophenax nivalis,42.2,Granivore,Terrestrial,Arctic Tundra,26930801.0561451,14605816.1979682,-12324984.858176902,1136479804.5693233,616365443.5542581,-520114361.0150652
Snow Goose,Anser caerulescens,2636.2,Herbivore terrestrial,Terrestrial,Arctic Tundra,1540796.35898318,14494424.7136609,12953628.35467772,4061847361.551459,38210202430.15286,34148355068.601402
Snowy Egret,Egretta thula,371,Aquatic predator,Terrestrial,Wetland,94261.2765177085,254676.052653335,160414.7761356265,34970933.58806985,94484815.53438729,59513881.94631744
Snowy Owl,Bubo scandiacus,2028.8,Vertivore,Insessorial,Arctic Tundra,27699.6841577088,15179.3278714194,-12520.356286289401,56197119.21915962,30795820.38553568,-25401298.83362394
Snowy Plover,Charadrius nivosus,42.3,Aquatic predator,Terrestrial,Coasts,27523.1098448571,32819.436614702,5296.326769844898,1164227.546437455,1388262.1688018944,224034.6223644393
Solitary Sandpiper,Tringa solitaria,48.4,Aquatic predator,Terrestrial,Wetland,149952.239789058,200395.015410527,50442.775621469016,7257688.405790406,9699118.745869506,2441430.3400791
Song Sparrow,Melospiza melodia,21.9,Omnivore,Generalist,Habitat Generalist,174131005.954673,118763923.85112,-55367082.103553,3813469030.407338,2600929932.3395276,-1212539098.0678105
Sooty Grouse,Dendragapus fuliginosus,1047.3,Herbivore terrestrial,Generalist,Western Forest,3085195.75084739,1911577.17200507,-1173618.57884232,3231125509.862471,2001994772.2409096,-1229130737.6215615
Sora,Porzana carolina,74.8,Omnivore,Terrestrial,Wetland,3690169.84366298,4683034.59538963,992864.7517266497,276024704.3059909,350290987.7351443,74266283.42915344
Spotted Sandpiper,Actitis macularius,40.4,Aquatic predator,Terrestrial,Wetland,1218808.95183963,629504.101580952,-589304.8502586781,49239881.65432105,25431965.703870457,-23807915.950450595
Spotted Towhee,Pipilo maculatus,39.3,Omnivore,Generalist,Western Forest,37808362.9594115,35117063.916386,-2691299.043025501,1485868664.3048718,1380100611.9139698,-105768052.39090204
Sprague's Pipit,Anthus spragueii,25.5,Invertivore,Terrestrial,Grassland,5015368.69312099,1158592.76820917,-3856775.92491182,127891901.67458524,29544115.589333836,-98347786.0852514
Spruce Grouse,Canachites canadensis,473.7,Herbivore terrestrial,Terrestrial,Boreal Forest,7420117.22445008,13931986.8950906,6511869.670640521,3514909529.2220025,6599582192.204417,3084672662.9824147
Steller's Eider,Polysticta stelleri,806.8,Aquatic predator,Aquatic,Arctic Tundra,462485.667897131,162534.564145385,-299951.103751746,373133436.8594053,131132886.35249661,-242000550.50690866
Steller's Jay,Cyanocitta stelleri,128,Omnivore,Insessorial,Western Forest,2997725.13756211,2657177.19581468,-340547.94174743025,383708817.6079501,340118681.064279,-43590136.54367107
Stilt Sandpiper,Calidris himantopus,57.2,Aquatic predator,Terrestrial,Arctic Tundra,2042501.61584701,1254798.6001799,-787703.01566711,116831092.42644897,71774479.93029028,-45056612.49615869
Summer Tanager,Piranga rubra,29.1,Invertivore,Insessorial,Eastern Forest,10255100.0238308,11788944.5748392,1533844.5510084014,298423410.69347626,343058287.1278208,44634876.43434453
Surf Scoter,Melanitta perspicillata,1096.3,Aquatic predator,Aquatic,Wetland,571151.399030957,630057.009866714,58905.61083575699,626153278.7576382,690731499.9168786,64578221.159240365
Surfbird,Calidris virgata,201,Aquatic predator,Terrestrial,Arctic Tundra,133839.994293329,69675.4966810862,-64164.49761224279,26901838.852959126,14004774.832898324,-12897064.020060802
Swainson's Hawk,Buteo swainsoni,946.6,Vertivore,Insessorial,Grassland,575188.326862388,915042.90056118,339854.5736987919,544473270.2079365,866179609.671213,321706339.4632765
Swainson's Thrush,Catharus ustulatus,30.3,Invertivore,Insessorial,Forest Generalist,160883626.621367,117779529.745262,-43104096.87610501,4874773886.62742,3568719751.281439,-1306054135.3459816
Swainson's Warbler,Limnothlypis swainsonii,18.9,Invertivore,Terrestrial,Eastern Forest,74162.2771960423,189890.151211947,115727.8740159047,1401667.0390051992,3588923.857905798,2187256.818900599
Swallow-tailed Kite,Elanoides forficatus,416.2,Invertivore,Generalist,Eastern Forest,607.220261317445,7927.37397423991,7320.153712922465,252725.0727603206,3299373.0480786506,3046647.97531833
