year,mean_Aquatic_predator,upper97p5_Aquatic_predator,lower2p5_Aquatic_predator,mean_Frugivore,upper97p5_Frugivore,lower2p5_Frugivore,mean_Granivore,upper97p5_Granivore,lower2p5_Granivore,mean_Herbivore_aquatic,upper97p5_Herbivore_aquatic,lower2p5_Herbivore_aquatic,mean_Herbivore_terrestrial,upper97p5_Herbivore_terrestrial,lower2p5_Herbivore_terrestrial,mean_Invertivore,upper97p5_Invertivore,lower2p5_Invertivore,mean_Nectarivore,upper97p5_Nectarivore,lower2p5_Nectarivore,mean_Omnivore,upper97p5_Omnivore,lower2p5_Omnivore,mean_Scavenger,upper97p5_Scavenger,lower2p5_Scavenger,mean_Vertivore,upper97p5_Vertivore,lower2p5_Vertivore
1981,-5.570400828219991,2.4641752740685288,-13.110337536025845,8.400032899025778,17.056920507519774,0.13647097887446288,-12.462548615974187,-10.04542449339804,-14.829425246391683,-15.901906177892185,-9.79343471076755,-21.777154417486333,1.6095010883378293,13.43602650580172,-8.282951254770378,-9.330492297608306,-7.676012513766788,-10.985470479548468,-8.323381889389793,-2.649691925828978,-14.139296431181187,-10.613691080044761,-8.49523089917714,-12.778303239978747,24.346560976826453,32.83912970487356,15.968431443552854,3.145514383084866,6.56432048080855,-0.44050223881893585
1982,-6.335236441181559,2.4020160514244537,-13.707025047150266,9.301669537546402,18.32101054519302,0.7553067189703606,-13.620363700150484,-10.91332446704239,-16.006521201920282,-18.850984991070362,-12.900261071573707,-24.8560780106345,3.3797182459359583,16.68613102824613,-7.718914945349565,-10.185445832015464,-8.49746313006441,-11.930850577585046,-9.321169748768337,-3.636423863541822,-14.873944126898472,-11.447833403775798,-9.255142749370304,-13.492247584525982,27.49507243813973,35.53171550709185,18.780357478733503,3.4391852620474,7.116699961975462,-0.2071377635582649
1983,-7.595102826134003,1.5123615340680368,-15.822992137508717,10.360028571350206,19.668768224797482,1.7102297151192092,-14.773564355277031,-12.109553591066197,-17.389128632191895,-21.586190243628234,-14.878826279750848,-27.539669718666943,4.6061878647977945,19.795429831071306,-7.670855272334945,-10.879550830020333,-9.287494156346252,-12.414726744743541,-10.428345072800848,-4.189614650272703,-16.25102176846305,-12.26775194125281,-9.911319899494806,-14.47223114942291,30.48141395661466,39.730975175484815,22.66598285966695,3.953280985949262,7.426539689598682,0.4683860423989384
1984,-8.592323558829714,1.1706104089763276,-18.465191521929206,11.228344092652895,21.142634675011337,2.705204643958045,-15.995782277952655,-13.181358268496457,-18.627569756076838,-24.08955930207099,-17.19019103278578,-30.059641584901623,6.608558081230174,24.04259297871028,-7.644870937478817,-11.639504487274158,-9.95366023073729,-13.413219574915022,-11.35975984249352,-5.05007693857121,-17.45051401279669,-12.9269327148085,-10.859049898883042,-15.214040871498613,33.52369666963673,42.60691660407238,24.947285196022246,4.354505897422619,7.944006928166061,0.612812069987927
1985,-9.79753108444346,0.5609153072157094,-19.21829003759292,12.325933204201391,22.358954198639765,3.43212768029638,-17.00998912789188,-14.013468924654092,-19.578446340979497,-26.565771668373582,-20.19091681727429,-32.352214240084855,8.516069168564314,27.349335743681298,-6.8036641062281475,-12.307662922067188,-10.484646892790423,-13.926433007895396,-12.109661113360907,-5.8726714956478645,-18.3241110975792,-13.562200484433777,-11.337422527240337,-15.748274118068709,36.873807357484324,45.996125700636135,28.119357461468944,4.7682419797151585,8.575651619373806,1.1856086483070656
1986,-10.8685566572129,-0.3661007358391651,-21.003678431813903,13.067432452035904,21.528816915877282,4.174392808452306,-18.15970403513285,-15.062756153458075,-20.849405658948122,-28.566423723890864,-22.428633689999806,-34.24957956325833,11.068037622271893,32.875678605854766,-5.86925766258065,-12.92618288286159,-11.223710210949594,-14.447253134109634,-12.893022892412347,-6.365779829410714,-19.044108978132055,-14.15770581579539,-11.748767801719612,-16.324962394670017,40.42979426784585,50.3876693627097,30.75670770735941,5.281820049788118,8.64577330510749,1.7869413793111932
1987,-12.670055700824351,-1.4009620326486556,-23.032431131270275,13.93196431180829,24.124060323097034,4.340965303555234,-19.183646364211903,-16.06307267812583,-22.075476598596932,-30.594820202194686,-23.872124024642524,-36.081699779980255,14.286450058702162,37.8909475385982,-4.487227668972731,-13.561964865847923,-11.773233386792624,-15.235081075962068,-13.430961670719691,-6.2992279586491495,-19.82761771876092,-14.66973238921749,-12.160098297853569,-16.812795278707096,43.71251184645552,53.00766843065673,34.556147131861216,5.760707895759673,9.620299300110378,1.9757136318229047
1988,-13.853094232610333,-1.8271595954025193,-24.64486046402976,14.762873080872469,24.18047217920872,5.467572121733964,-20.175435163412615,-16.909147303164914,-23.210860558979952,-31.98648461833617,-26.11156180802038,-36.895857157838016,17.449519012189388,43.77077409550963,-1.9574868794362048,-14.148695841980093,-12.365979033039832,-15.914647440503368,-14.217174934970133,-7.15833589508431,-20.312493556432752,-15.125626634529064,-12.90182999943428,-17.376812736916538,47.42350722464301,57.01157616214776,38.085119742713516,6.226309412115037,9.92602176328546,2.47653502594429
1989,-15.289962264154807,-3.208115485443314,-26.44199136145377,15.431023582719478,25.66677707186441,5.825515189100776,-21.09943415417167,-17.564773278810023,-24.04433300662744,-33.04987452569175,-27.404619591933418,-38.526471741984416,20.85034482242124,47.16213569522821,-0.8495251165456382,-14.723776581503515,-13.0551395422085,-16.391680141120933,-14.911603902628944,-7.882288126505565,-21.611948297386498,-15.429633648352185,-13.089745978319721,-17.56012308079179,51.34576927916111,62.42692142582339,41.55999938284144,6.806496817447835,10.367846843360288,3.366112619586851
1990,-16.30440097720086,-3.308254570918173,-27.75294964206557,16.499820529354498,27.200652718603443,6.7311670728478505,-22.044559209364326,-18.383824482399238,-24.929679773045137,-33.323614010525674,-27.687032739909593,-38.951343261692564,26.918649204258028,57.19020696819806,3.4357676077525148,-15.274071136317083,-13.428910120543952,-16.948100805271363,-15.442317908644371,-8.014196343018611,-22.003926617291242,-15.768222208312746,-13.280428393033857,-17.96891190568756,55.74764704388102,65.73808473310791,45.730041375388694,7.355215132083499,10.741091122703358,3.7831705215633384
1991,-17.503433052414536,-3.243110406159678,-28.185398029358385,17.01479697137318,26.923774695088145,7.513582551513384,-22.902370732031194,-19.65426035552098,-25.658731833002395,-32.2829175287027,-25.780575521888565,-37.727763325028114,31.02012999166278,62.43218877033736,4.458018292288287,-15.847712708115608,-14.055947112903787,-17.51705012476489,-15.872391519499574,-8.484863607805634,-22.332414972221954,-15.877849723596333,-13.462077970871531,-18.18626023733014,59.79285795129066,71.19257736206067,50.06134798352736,7.907347410761272,11.64831033180322,4.347563944773907
1992,-18.5173594280859,-5.5117675590580655,-29.446251423060616,17.795754262328902,27.952708440635647,8.376375453739191,-23.745230652118327,-20.750335897355004,-26.375908754527256,-29.4784954425352,-23.00837714889974,-35.09059089876905,37.46013547808429,68.06075192542794,10.65629264739773,-16.31979709345251,-14.565998452888362,-17.90013260477142,-16.4002098522966,-8.109745606430634,-23.14904801502737,-16.022624537289794,-13.459686128534665,-18.226040008535282,64.55203421017366,75.3403091027442,53.690094539757865,8.414589110097147,12.23406225995825,4.432659598878599
1993,-19.59335641849316,-5.177637842427909,-31.135295288083448,18.037812609141692,28.846487108951496,8.237668125511258,-24.52197652519835,-21.654535057068365,-27.080805660465728,-25.25309179558385,-18.871636050108197,-31.429933980809555,44.82914082633995,80.3544775807104,15.19811400878073,-16.86055324755895,-15.25886994821792,-18.406377372042606,-16.645604364711524,-9.158346607785873,-23.596013735890953,-16.092339983929513,-13.341156656665653,-18.38889909476247,69.31968825990056,81.1198869936638,59.06909162881494,9.091469261276465,12.735005576715915,5.447249144302061
1994,-20.339780784229127,-5.839388125998558,-31.343929516620914,18.619758216277816,28.594500981921726,9.080209742669135,-25.34205297465139,-22.40461849249545,-27.93543811785627,-19.300404027246998,-12.046778198866953,-25.88170627057056,53.21461739399176,94.0057097566542,21.011773853612922,-17.422652425601516,-15.817515832887317,-19.085864853350387,-17.129135744649194,-8.071841266517191,-24.00123100519841,-16.076445377858203,-13.638187064998862,-18.489370838852885,74.55723099079428,86.78638142460656,63.39972638400745,9.868462714940588,13.733472986990378,6.078117111429145
1995,-21.309697707944302,-6.258171878639254,-32.75693337936403,18.854673210903552,29.136329822246616,9.249717403075564,-26.1031841113438,-23.09333168531444,-28.738877959155083,-12.323344441408615,-3.903505285296661,-19.877383136196713,64.88479477428191,107.78985109594281,27.92536587496553,-17.89223176794372,-16.34394884492293,-19.43642764775839,-17.46347769871251,-8.762008903382892,-24.906977616593036,-16.004954006011406,-13.542334844076326,-18.327662294509405,79.4640221094214,91.39515451532176,67.95549833750067,10.51674651752517,14.530245607360188,6.790427573673898
