year,mean_Aquatic_predator,upper97p5_Aquatic_predator,lower2p5_Aquatic_predator,mean_Frugivore,upper97p5_Frugivore,lower2p5_Frugivore,mean_Granivore,upper97p5_Granivore,lower2p5_Granivore,mean_Herbivore_aquatic,upper97p5_Herbivore_aquatic,lower2p5_Herbivore_aquatic,mean_Herbivore_terrestrial,upper97p5_Herbivore_terrestrial,lower2p5_Herbivore_terrestrial,mean_Invertivore,upper97p5_Invertivore,lower2p5_Invertivore,mean_Nectarivore,upper97p5_Nectarivore,lower2p5_Nectarivore,mean_Omnivore,upper97p5_Omnivore,lower2p5_Omnivore,mean_Scavenger,upper97p5_Scavenger,lower2p5_Scavenger,mean_Vertivore,upper97p5_Vertivore,lower2p5_Vertivore
1979,-0.05482489488376485,0.006652484021458793,-0.10673153147365311,0.07346406347238932,0.1679798461242077,-0.012241278831823577,-0.12783803862678045,-0.09686902604482084,-0.15736204495575634,-0.11821977179059262,-0.05402166266581665,-0.1796523190204189,-0.00776213974705009,0.10329197383596145,-0.10782400620420107,-0.07545756432817996,-0.05359081223412987,-0.09706061223134665,-0.06931511387221845,-0.018822636895002742,-0.12218421073923313,-0.11637506935441944,-0.09768443411470484,-0.13444205288361988,0.2111854261405457,0.29512049600405144,0.13454126854386783,0.03149542266484162,0.06302754764720064,0.001974981485815208
1980,-0.06248861334276612,-0.0028019247916070134,-0.11949004524263973,0.08351019130164605,0.16977154407060802,0.0015989941856704437,-0.14232232531857525,-0.11082487345620406,-0.17379477307300673,-0.14864223939719023,-0.08335350009222275,-0.21010839440336682,-0.0029068346510348064,0.13678902211943966,-0.11164234337368972,-0.08436415325806679,-0.05997416927989707,-0.1068240472887334,-0.08004320144248933,-0.025083807517986667,-0.1375044055119703,-0.12789488108346592,-0.1088631888103655,-0.14546627353773456,0.23929343523990476,0.323180619327482,0.15452354755671616,0.03760821879275511,0.07033832066322065,0.005413120987094899
1981,-0.07081406534971635,-0.003395975419644204,-0.1275348677342958,0.09252133277082675,0.18172868156461974,0.00788486320523818,-0.15524143817809788,-0.12141345076020338,-0.18676672288137375,-0.17787189076816712,-0.11229136212384283,-0.24119859606596483,0.0027340806197371226,0.15436576588817785,-0.12158611565603439,-0.09433836016969843,-0.07148528403646404,-0.1171430885327498,-0.08965430474705172,-0.033611161558672276,-0.14420298538147314,-0.13839564438745933,-0.11876879293658227,-0.15647580863565913,0.27015389866179507,0.3520769885417818,0.18371142320195966,0.041713835874220395,0.07668811148401478,0.008789900998454447
1982,-0.08366372301326586,-0.016645259341014795,-0.14953942303387402,0.10308480526994579,0.19566481625946786,0.016628277275613224,-0.1683352491452743,-0.13066234626142426,-0.2010508203481003,-0.20380878552375503,-0.13251201063134932,-0.2676180738707361,0.005791589796759977,0.1725182508568801,-0.13054953481353693,-0.1018800707387364,-0.07757820166322127,-0.125604518507333,-0.10037587723686625,-0.04027604107213856,-0.15740393702448574,-0.14807694154717044,-0.12944561451462988,-0.16556918192324832,0.29926685886850923,0.393257829176092,0.22110735851199048,0.04743587972056029,0.08350369780584588,0.012701866529122974
1983,-0.09581986899325112,-0.023170245965292713,-0.1712131008259462,0.11171587961849694,0.20992671232358617,0.026225350085206323,-0.18144391667105975,-0.14190416235228087,-0.216050273057535,-0.22790163419620635,-0.15225207865744694,-0.29083746390969,0.019517817356924594,0.19986627246919975,-0.1265713668164007,-0.11043648997005484,-0.08649520890311857,-0.1337892833643627,-0.10931604125488725,-0.04693190076652087,-0.1684581558421998,-0.1570865039467202,-0.13912394294363717,-0.17517297700733225,0.3288716473078379,0.42205197401150985,0.24285360687000357,0.05328359238009206,0.08725069243154082,0.020263986397350164
1984,-0.10841327826110836,-0.03446489769039762,-0.18189322619802117,0.12265249082198015,0.2219377802444491,0.034196038234269865,-0.1928546469429464,-0.149217975073203,-0.22925998600918018,-0.2519425989405306,-0.1800769634906978,-0.3156840822411783,0.029363370219246843,0.23152080559181432,-0.1264002073424847,-0.11851652011673564,-0.0924843419984972,-0.14213852217923162,-0.11641579454706408,-0.05688113597815059,-0.17834166853607225,-0.1657879671106829,-0.14755452203321562,-0.18344539493376366,0.3614517406039539,0.45079172797893996,0.27143692355311333,0.05973688785433673,0.10147402065100941,0.0254865572397156
1985,-0.12176977963468949,-0.044658791506848705,-0.19832105941879663,0.1300385032423692,0.21449452318420326,0.04135396868519248,-0.2057740598828297,-0.16591239366818988,-0.24233888863871067,-0.2718902310588285,-0.20466113245209516,-0.3317099125586659,0.04036236680283478,0.2692440326849377,-0.13618506370045635,-0.12566368878047085,-0.10040969380304954,-0.14733900431633074,-0.12401228961615807,-0.05969093927608338,-0.1856873209479949,-0.1732841369050966,-0.15542047179084317,-0.19112869318514314,0.39614862933029116,0.49547774577643167,0.2972945471068609,0.06682296799154952,0.1051486224523066,0.03227899150996549
1986,-0.1391318666665663,-0.06446371868546175,-0.21444543016207762,0.13866642343847113,0.24004739237201145,0.04270295558978354,-0.2176553047401818,-0.17488234096305277,-0.2567033077912888,-0.2938639258230742,-0.2223625818379401,-0.35370374889154244,0.057411678491534834,0.3113193746991856,-0.12505213553248817,-0.13259110868174673,-0.10865387232229462,-0.15544506805634117,-0.12909913189519795,-0.057469139736696095,-0.19111428278807385,-0.1810651267657316,-0.16166423145310305,-0.1982518277173061,0.42799679161272963,0.5219976912489495,0.337092299709306,0.0733575813056595,0.11309696211161557,0.035957890913793644
1987,-0.1531191334157176,-0.07088161593272158,-0.2321493768048115,0.14696769754120642,0.24038213589854696,0.054921288934796086,-0.22817654816768407,-0.17842750094151494,-0.2680886931815982,-0.3087994556266702,-0.2440892533195802,-0.36311771180177854,0.07092723839018977,0.35995463971619857,-0.12645526424359665,-0.13843294790800864,-0.11510639163900926,-0.16168627564907634,-0.13667213246023913,-0.06565754529384205,-0.19670333123246575,-0.1881860173086114,-0.17020531638832204,-0.207425388180294,0.46398569008179735,0.5604665417861674,0.3711183536672833,0.08131380171941971,0.12335981117327455,0.043623989002085084
1988,-0.16753509440145553,-0.08272529489318425,-0.24914046384843525,0.1536829533828603,0.25588768710577514,0.05784030446841659,-0.23909323411625516,-0.18791648265493888,-0.2802841610908171,-0.31977426218302607,-0.25483584047598673,-0.37597782594441553,0.08101961429764137,0.34547355637776245,-0.1068004932298311,-0.14474094658304704,-0.1207750519395967,-0.16847251830443988,-0.14330902071828888,-0.07374970967677819,-0.208447258611425,-0.19593619033422793,-0.17697722201417998,-0.21464493515086336,0.5022012371899407,0.6135380448961945,0.4058098602740634,0.08788762225973756,0.1330325322892274,0.0504864340324791
1989,-0.17832421768433548,-0.09020695300162651,-0.2594006122931214,0.16428725147099943,0.2706547945900655,0.06757377959023447,-0.2506471674119475,-0.19773159732791956,-0.2925585356127576,-0.323818355441045,-0.2614556822177839,-0.38170572677655545,0.12131993311418787,0.4234781664556142,-0.0998627714861422,-0.15015664560603925,-0.12557444745865243,-0.17278397980293092,-0.1483948156950503,-0.07637946438273135,-0.21368723047884897,-0.20289221862289109,-0.1838475121688169,-0.22190084914985053,0.5450449843435774,0.6473955373577136,0.44725942373713856,0.09707744579760291,0.14078122495736767,0.05747733194877891
1990,-0.1914811608984346,-0.09548531005157046,-0.270882145942961,0.1694812989614134,0.26901356525518527,0.07531321413015002,-0.2608385738558553,-0.2178938739172528,-0.2988776689091498,-0.31404032210604094,-0.2513875948347758,-0.37348145551244627,0.13563788493237228,0.44731086171849377,-0.08954362839966068,-0.1557339449338918,-0.13256121729309156,-0.17818210430006165,-0.15239763075694746,-0.07838764038662005,-0.21616845256732964,-0.20945071623348976,-0.1917205743710505,-0.2271601494476897,0.5841152921187123,0.6996583023587082,0.48395050735753853,0.10481059830723183,0.1486820245806364,0.06337754440828691
1991,-0.2008085464403927,-0.10605055320397783,-0.2766816531228935,0.1772664184228978,0.278907169289764,0.08379965122440147,-0.2707991837647573,-0.22830564247553609,-0.3039345122439514,-0.2830513754923861,-0.209689753044226,-0.3443636789362039,0.1638219596721886,0.4271932761622925,-0.04726982422933956,-0.1605619610896668,-0.14028774912858655,-0.1829906737218756,-0.15738329230190207,-0.07711241863745599,-0.22258146194650585,-0.21624344663454909,-0.19926892679743302,-0.2332452882868622,0.6302784775840953,0.7389397798888868,0.5222209267088191,0.11371382898679161,0.15944074973342937,0.07270939101135099
1992,-0.21165622283382257,-0.10985422858579919,-0.29323836230192235,0.17966090232711407,0.28627796150938867,0.08238773654162745,-0.2810740151540885,-0.2441678746305409,-0.31454284846988656,-0.2374497652992319,-0.1685818546690132,-0.30448476642940303,0.18793589890259144,0.45886300021545257,-0.03395634608014042,-0.16552310569145823,-0.14373036903802705,-0.1872753287418425,-0.1595713059921754,-0.08721437830253653,-0.2290588237372686,-0.22270608780472256,-0.20461451633536287,-0.2402344876074055,0.6763856466554665,0.7935608107651246,0.5763113719806943,0.12307517409267166,0.1669933769777292,0.08201186845084063
1993,-0.21915551501303843,-0.1283797133621688,-0.29920397003338395,0.18551165075652798,0.284825897137009,0.09010741642787856,-0.2920335264430518,-0.25293843709480457,-0.3230777121832106,-0.17249052115884078,-0.08913617427980125,-0.24682146662179882,0.22965519495004783,0.5276518126250125,0.006312925343709086,-0.17121666797023893,-0.14894291930882375,-0.19394346250078442,-0.16419947871365825,-0.079701561900276,-0.23162168105675474,-0.2297740042360802,-0.2129265709724235,-0.24650492104474075,0.7271530691592722,0.8482771927715385,0.6163373021915477,0.13378785146028593,0.18496275789414574,0.09067928134486336
1994,-0.22861168842144353,-0.12882183692693816,-0.30832079203097373,0.18787773034958377,0.2899021601938969,0.0912564861736842,-0.30234020129380146,-0.26287827617645365,-0.33569043008866506,-0.09686231877601148,-0.005458086821806041,-0.17750698993789304,0.27555459758046874,0.6078750019569548,0.04183871606194356,-0.1755797207615516,-0.15554604561986884,-0.19661962457274773,-0.16729019964713532,-0.08123919330520657,-0.24001480860508817,-0.23628435597538455,-0.21863026951194786,-0.2542795455326685,0.7743587799158478,0.8928814506818636,0.6605675365202814,0.1434058264019311,0.19099443364921753,0.10163122786117307
1995,-0.23829068445610913,-0.12904490041992434,-0.3194470322178574,0.1911031744047953,0.28933785176284865,0.0931925330554444,-0.31392296927172947,-0.27886403497233225,-0.34685823211601086,-0.023169521246840463,0.08719308054514308,-0.11856760163027757,0.3156911039606023,0.64493686238721,0.06968362518697391,-0.18072961116694286,-0.158953534120302,-0.2014702835162795,-0.16957342451554558,-0.0777667622040743,-0.2432191417083721,-0.24327586526196188,-0.2246747714864663,-0.2597182103009421,0.8274372448264415,0.9582122600770993,0.7096865166817445,0.15412386784556698,0.20870408287224373,0.10875009709021399
