species,sci_name,mass,trophic_niche1,trophic_niche2
Canyon Towhee,Melozone fusca,44.4,Granivore,Generalist
Canyon Wren,Catherpes mexicanus,12,Invertivore,Insessorial
Cape May Warbler,Setophaga tigrina,10,Invertivore,Insessorial
Carolina Chickadee,Poecile carolinensis,10,Invertivore,Insessorial
Carolina Wren,Thryothorus ludovicianus,19,Invertivore,Insessorial
Caspian Tern,Hydroprogne caspia,655,Aquatic predator,Aerial
Cassin's Auklet,Ptychoramphus aleuticus,184,Aquatic predator,Aquatic
Cassin's Finch,Haemorhous cassinii,26.5,Granivore,Insessorial
Cassin's Kingbird,Tyrannus vociferans,45.6,Invertivore,Insessorial
Cassin's Sparrow,Peucaea cassinii,18.9,Invertivore,Generalist
Cassin's Vireo,Vireo cassinii,14.7,Invertivore,Insessorial
Cattle Egret,Bubulcus ibis,366,Omnivore,Terrestrial
Cave Swallow,Petrochelidon fulva,19,Invertivore,Aerial
Cedar Waxwing,Bombycilla cedrorum,31.6,Frugivore,Insessorial
Cerulean Warbler,Setophaga cerulea,9,Invertivore,Insessorial
Chestnut-backed Chickadee,Poecile rufescens,9.4,Invertivore,Insessorial
Chestnut-collared Longspur,Calcarius ornatus,20.3,Granivore,Terrestrial
Chestnut-sided Warbler,Setophaga pensylvanica,9.3,Invertivore,Insessorial
Chihuahuan Raven,Corvus cryptoleucus,533.5,Omnivore,Terrestrial
Chimney Swift,Chaetura pelagica,23.6,Invertivore,Aerial
Chipping Sparrow,Spizella passerina,12.2,Omnivore,Generalist
Chuck-will's-widow,Antrostomus carolinensis,109,Invertivore,Aerial
Chukar,Alectoris chukar,502.1,Granivore,Terrestrial
Cinnamon Teal,Spatula cyanoptera,377.5,Herbivore aquatic,Aquatic
Clapper Rail,Rallus crepitans,306,Aquatic predator,Terrestrial
Clark's Grebe,Aechmophorus clarkii,1090.9,Aquatic predator,Aquatic
Clark's Nutcracker,Nucifraga columbiana,129.8,Omnivore,Insessorial
Clay-colored Sparrow,Spizella pallida,11.2,Granivore,Generalist
Cliff Swallow,Petrochelidon pyrrhonota,21.6,Invertivore,Aerial
Common Eider,Somateria mollissima,2060.9,Aquatic predator,Aquatic
Common Gallinule,Gallinula galeata,339.6,Omnivore,Terrestrial
Common Goldeneye,Bucephala clangula,918.6,Aquatic predator,Aquatic
Common Grackle,Quiscalus quiscula,105.2,Omnivore,Terrestrial
Common Ground-Dove,Columbina passerina,35.4,Omnivore,Terrestrial
Common Loon,Gavia immer,4956.8,Aquatic predator,Aquatic
Common Merganser,Mergus merganser,1451,Aquatic predator,Aquatic
Common Murre,Uria aalge,991.9,Aquatic predator,Aquatic
Common Nighthawk,Chordeiles minor,79.3,Invertivore,Aerial
Common Poorwill,Phalaenoptilus nuttallii,48.3,Invertivore,Generalist
Common Raven,Corvus corax,928,Omnivore,Terrestrial
Common Redpoll,Acanthis flammea,13,Granivore,Generalist
Common Tern,Sterna hirundo,129.2,Aquatic predator,Aerial
Common Yellowthroat,Geothlypis trichas,9.5,Invertivore,Insessorial
Connecticut Warbler,Oporornis agilis,13.3,Invertivore,Terrestrial
Cooper's Hawk,Accipiter cooperii,429.7,Vertivore,Aerial
Cordilleran Flycatcher,Empidonax occidentalis,11.6,Invertivore,Insessorial
Costa's Hummingbird,Calypte costae,3.1,Nectarivore,Aerial
Couch's Kingbird,Tyrannus couchii,39,Invertivore,Insessorial
Crested Caracara,Caracara plancus,1078.6,Omnivore,Terrestrial
Crissal Thrasher,Toxostoma crissale,62.7,Invertivore,Terrestrial
Curve-billed Thrasher,Toxostoma curvirostre,80.5,Invertivore,Terrestrial
Dark-eyed Junco,Junco hyemalis,19.5,Granivore,Generalist
Dickcissel,Spiza americana,26.2,Omnivore,Terrestrial
Double-crested Cormorant,Nannopterum auritum,1806.5,Aquatic predator,Aquatic
Dovekie,Alle alle,180.7,Aquatic predator,Aquatic
Downy Woodpecker,Dryobates pubescens,25.6,Invertivore,Insessorial
Dunlin,Calidris alpina,51.9,Aquatic predator,Terrestrial
